video_id,split,y_true,y_proba,title,channel_title,category_title,view_count,predicted
HQr1aCClIos,test,1,0.04521334725542909,พนักงานญี่ปุ่นพับของขวัญเร็วเกินมนุษย์!,PANDA STORY,Gaming,14090304.0,0
VLZqWCBoyW0,test,1,0.047597805030511496,Rov+efootball ผม พาดราฟตัวให้ชนะตั้งแต่ยังไม่เล่น สำหรับโซโล่,MYRMIE,Gaming,10739.0,0
_QORfltBmyQ,test,1,0.048271895760315424,เมื่อปีเก่าจากไป…เลขเดียวที่ต้องอยู่ต่อ กลับเจ็บที่สุด,PANDA STORY,Gaming,2515606.0,0
EoesKeMVnqU,test,1,0.04872024630049261,ROV กดแรงค์ดาวไม่ลด แค่ดราฟตัวแบบนี้ครับ,MYRMIE,Gaming,7116.0,0
cqU30H310Uk,test,1,0.04881983053359558,ปรับสมดุลฮีโร่ 4 ธันวาคม,Garena RoV Thailand,Gaming,20382.0,0
iV4AMR9N9Ww,test,1,0.048977545942318686,Free Fire : พาเอฟซีลุยแรงค์ จะไหวไหม ? | แรงค์แกง Vs มาสเตอร์ !!,CGGG DETBUU,Gaming,86246.0,0
WAMJXTHG2mw,test,1,0.049659806519697994,อยากเล่นกับอ้ายวิน | FREE FIRE Live Stream #2 🔴,LowGrade,Gaming,262541.0,0
n8LFrR23s60,test,1,0.05173295446287262,ROV ชนะไปต่อ ทุกแรงค์ แพ้แยกย้าย ว่าง 4 ครับ,MYRMIE,Gaming,12096.0,0
sTpCVH1c8_E,test,1,0.052120115228509185,เงาใครกันนะ ทายถูกมั้ย,zbing z.,Gaming,7126780.0,0
iWMBGY0ec8c,test,1,0.052498723414310146,ROV จะพาคนดูชนะ 10 ตา ต้อนรับปีใหม่ จับแต่ตัวโหดๆ,MYRMIE,Gaming,11136.0,0
PwaCz1Y6sSc,test,1,0.052727816099807735,ROV เล่นแต่ตัวเก่งๆแบกคนดูชนะไปต่อ เอาจริง,MYRMIE,Gaming,9163.0,0
NkWfje1Q3_s,test,1,0.053006778999727264,𝐏𝐆𝐂 𝟐𝟎𝟐𝟓 | แวะส่งกำลังใจให้เหล่าทีมในดวงใจ ที่ centralwOrld PULSE ชั้น 7  | PUBG,PUBG: BATTLEGROUNDS THAILAND,Gaming,5575.0,0
EfCEoJENMHo,test,1,0.05313030703854429,เหมียวชาร์คแมวที่หายไป! กลับมาวิ่งไล่ในแมพกระโดด | Roblox Create Meow Shark Slap Tower,AVA GAME,Gaming,156958.0,0
Xgb_mlP1zL8,test,1,0.05449625311046516,𝐏𝐆𝐂 𝟐𝟎𝟐𝟓 |🐇แมตช์สุดท้ายของ eArena ก่อนคว้าตั๋วเข้าสู่รอบ 𝘎𝘳𝘢𝘯𝘥 𝘍𝘪𝘯𝘢𝘭𝘴 | PUBG,PUBG: BATTLEGROUNDS THAILAND,Gaming,968536.0,0
Y135CbLWYAA,test,1,0.05475203936041857,ถ้าเกิด!! ดูหนังตอนตี3 แต่กับเจอ ผีนกฮูกหลอน ใน99คืน - (Minecraft ดูหนังตี3),XyCloneZ,Gaming,424015.0,0
9yWbjSgxAQw,test,1,0.05494730314009699,𝐏𝐆𝐂 𝟐𝟎𝟐𝟓 | รวมช็อตเดือดทีมไทย รอบ Group Stage A วันที่ 3 | PUBG,PUBG: BATTLEGROUNDS THAILAND,Gaming,19833.0,0
dK_dK4FE9-g,test,1,0.05541740906739118,𝐏𝐆𝐂 𝟐𝟎𝟐𝟓 | รวมจังหวะโบ๊ะบ๊ะ😂จากรอบ Group Stage ที่ผ่านมา | PUBG,PUBG: BATTLEGROUNDS THAILAND,Gaming,236535.0,0
cV0aPNyH6bA,test,1,0.05616450561863129,ฝรั่งชมประเทศไทย พากย์ไทย {ต้นฉบับTikTok@wohinmithamo }#thailand     #คนไทยใจดี #ต่างชาติพูดถึงไทย,bas za studio,Gaming,5392445.0,0
bAY59SAJv9Y,test,1,0.056455309548899726,เพราะเหมือนยิ่งคบ เรากลับยิ่งไม่รักกัน #BUSDICELIVESESSION #BUSbecauseofyouishine #DICE_SONRAY,TADA LABELS,Music,22112.0,0
6MB41CohzEQ,test,1,0.057664018855997014,5 ไลฟ์สไตล์ที่บอกเลยว่า…นี่แหละ T5_Excrozit😎 | 𝐏𝐔𝐁𝐆 𝐆𝐋𝐎𝐁𝐀𝐋 𝐂𝐇𝐀𝐌𝐏𝐈𝐎𝐍𝐒𝐇𝐈𝐏 𝟐𝟎𝟐𝟓🏆,PUBG: BATTLEGROUNDS THAILAND,Gaming,8273.0,0
Evolflwyz40,test,1,0.05792142393019812,🔴 LIVE | เอลลอยกับชุดใหม่ | Horizon Zero Dawn EP.5 #mightymax #vtuber #horizonzerodawn,Mighty Max,Gaming,177.0,0
ONe4eSBftT0,test,1,0.05812464568850301,ROV ชนะไปต่อ แพ้เปลี่ยนหมด หรือโซโล่ได้หมดค้าบ,MYRMIE,Gaming,11121.0,0
zfTddyDDuMI,test,1,0.058319199076439475,ROV ดราฟตัวเป็น ก็ขึ้นแรงค์เองได้ มาครับทุกคน,MYRMIE,Gaming,7492.0,0
IH0iOwekj2E,test,1,0.05850669126073378,ชิงแชมป์ RoV นานาชาติ Full Sense vs Flash Wolves | งานออฟไลน์ RoV นานาชาติ AIC 2025🏆 รอบชิงชนะเลิศ,Garena RoV Thailand,Gaming,2257367.0,0
qIGR07qRER4,test,1,0.05911544525199094,ROV ชนะไปต่อ แพ้แยก หรือโซโล่ได้หมด ว่าง 4 พาดราฟ,MYRMIE,Gaming,9926.0,0
V2JXC0BIXco,test,1,0.05927996856504227,มีครั้งคราว ที่เรื่องราว ทำให้คิดถึง… นิดหน่อย 💭 #BUS_ดีใจที่ไม่มีเธอ_MV #BUS_ดีใจที่ไม่มีเธอ,TADA LABELS,Music,7014.0,0
7zoyV9iWBw4,test,1,0.05953508629680038,𝐀𝐢𝐫𝐝𝐫𝐨𝐩 𝐁𝐨𝐱 ส่งตรงถึงมือ Lilghost [17 Gaming]🤣🎁 |  𝐏𝐔𝐁𝐆 𝐆𝐋𝐎𝐁𝐀𝐋 𝐂𝐇𝐀𝐌𝐏𝐈𝐎𝐍𝐒𝐇𝐈𝐏 𝟐𝟎𝟐𝟓🏆,PUBG: BATTLEGROUNDS THAILAND,Gaming,3279.0,0
fVBHTEW0A0w,test,1,0.05990486938862141,FC Mobile | ผมทำทีม OVR 122 สัปดาห์แรก ตึงๆ !!,Laem Sing - แหลมสิงค์,Gaming,154532.0,0
DbLjxVFhzSo,test,1,0.06026352558995374,เรียกชื่อผิดมานาน…ถึงเวลาฟังจากตัวจริง⚡️ 𝐏𝐥𝐚𝐲𝐞𝐫 𝐍𝐚𝐦𝐞 𝐏𝐫𝐨𝐧𝐮𝐧𝐜𝐢𝐚𝐭𝐢𝐨𝐧𝐬 𝐄𝐏.𝟏,PUBG: BATTLEGROUNDS THAILAND,Gaming,8905.0,0
7DFn_1lNs1Q,test,1,0.06070514413125268,ROV สตรีมนี้แนะนำการดราฟตัวล้วนๆ สาระเน้นๆ,MYRMIE,Gaming,10021.0,0
h-ceehmXwKc,test,1,0.060884249717716936,Free Fire : ซ้อมทีมอีกครั้งในรอบหลายปี ตี้รวมดาวเก่ง !!,CGGG DETBUU,Gaming,373938.0,0
UB1KgoyW7As,test,1,0.06115134334185808,แมวซอมบี้ 🔥🎃 #ajectpro #พี่ข่อยvr #แมวข่อย #iamcat,A JECT PRo,Gaming,136589.0,0
bWmyuUMn9I4,test,1,0.06118032919591911,19 ธ.ค.นี้ มาร่วมเชียร์ RoV ทีมชาติไทย🇹🇭 ลุยศึกชิงเหรียญทองซีเกมส์ครั้งที่ 33🥇,Garena RoV Thailand,Gaming,14854.0,0
Ufy_KbMyuRk,test,1,0.061425605403839664,เรียกชื่อผิดมานาน…ถึงเวลาฟังจากตัวจริง⚡️ 𝐏𝐥𝐚𝐲𝐞𝐫 𝐍𝐚𝐦𝐞 𝐏𝐫𝐨𝐧𝐮𝐧𝐜𝐢𝐚𝐭𝐢𝐨𝐧𝐬 𝐄𝐏.𝟑,PUBG: BATTLEGROUNDS THAILAND,Gaming,5240.0,0
ByzAitNMXkc,test,1,0.06272734645443087,🔴LIVE สด! 𝐏𝐔𝐁𝐆 𝐆𝐋𝐎𝐁𝐀𝐋 𝐂𝐇𝐀𝐌𝐏𝐈𝐎𝐍𝐒𝐇𝐈𝐏 𝟐𝟎𝟐𝟓 | Group Stage วันที่ 1 - Group A,PUBG: BATTLEGROUNDS THAILAND,Gaming,209775.0,0
fSOWkC3I278,test,1,0.06281303592038619,อึดอัดว่ะ,OPZ TV,Gaming,440580.0,0
46r8sxxTOpE,test,1,0.06319759846934134,PGC 2025 | รวมช็อตเดือดวันที่ 3 รอบ Grand Finals | PUBG,PUBG: BATTLEGROUNDS THAILAND,Gaming,27477.0,0
